task_id	hash	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action
1028	d4/6b8640	1441400	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_SUMMARY	CHC2115T_vs_CHC2115N	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_SUMMARY (CHC2115T_vs_CHC2115N)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-vcftools-0.1.16--he513fc3_4.img	1	518400000	-	1073741824	1	1676891199593	1676891203706	1676891203707	4114	0	qbic	95.3	0.0	2940928	11575296	2940928	11579392	3030568	2532	160	42	4432941	12288	9	1	/sfs/9/ws/iizha01-QSARK/intervals/fastp_16_intervals_0/work/d4/6b8640c48e927f55fece8847cfde01	true	-
1024	4a/0ae910	1441395	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_SUMMARY	CHC2115T_vs_CHC2115N	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_SUMMARY (CHC2115T_vs_CHC2115N)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-vcftools-0.1.16--he513fc3_4.img	1	518400000	-	1073741824	1	1676891198968	1676891203287	1676891208263	9295	1000	qbic	99.1	0.0	14917632	33128448	14917632	33132544	31020808	2593	187	42	32423036	12288	237	418	/sfs/9/ws/iizha01-QSARK/intervals/fastp_16_intervals_0/work/4a/0ae910d3a3de7a713d1566fd55884d	true	-
1023	11/13047a	1456184	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_COUNT	CHC2115T_vs_CHC2115N	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_COUNT (CHC2115T_vs_CHC2115N)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-vcftools-0.1.16--he513fc3_4.img	1	518400000	-	1073741824	1	1677171543183	1677171548514	1677171548515	5332	1000	qbic	97.7	0.0	2940928	11575296	2940928	11579392	31522708	2226	188	40	32925280	12288	9	0	/sfs/9/ws/iizha01-QSARK/intervals/fastp_16_intervals_0/work/11/13047ac143e8583b0b871ed59f9e80	true	-
1027	b6/9d675a	1441398	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_COUNT	CHC2115T_vs_CHC2115N	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_COUNT (CHC2115T_vs_CHC2115N)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-vcftools-0.1.16--he513fc3_4.img	1	518400000	-	1073741824	1	1676891199344	1676891203497	1676891203499	4155	0	qbic	93.9	0.0	2838528	11575296	2838528	11579392	3030576	2475	160	42	4432946	12288	9	0	/sfs/9/ws/iizha01-QSARK/intervals/fastp_16_intervals_0/work/b6/9d675a7933a89ac778a84f769941aa	true	-
1022	82/90995e	1441411	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_QUAL	CHC912T_vs_CHC912N	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_QUAL (CHC912T_vs_CHC912N)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-vcftools-0.1.16--he513fc3_4.img	1	518400000	-	1073741824	1	1676891484288	1676891489099	1676891493560	9272	1000	qbic	99.0	0.0	14856192	33128448	14856192	33132544	40037792	2620	196	40	41440018	12288	210	442	/sfs/9/ws/iizha01-QSARK/intervals/fastp_16_intervals_0/work/82/90995e3a9d9c441283d7d5876941c9	true	-
1030	bb/580713	1441397	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_QUAL	CHC2115T_vs_CHC2115N	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_QUAL (CHC2115T_vs_CHC2115N)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-vcftools-0.1.16--he513fc3_4.img	1	518400000	-	1073741824	1	1676891199216	1676891203289	1676891203290	4074	0	qbic	93.7	0.0	14630912	33132544	14630912	33136640	3030714	2533	160	38	4432943	12288	71	30	/sfs/9/ws/iizha01-QSARK/intervals/fastp_16_intervals_0/work/bb/5807139cb8be9106d9027c3de79fd8	true	-
1026	2c/5b356f	1441399	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_COUNT	CHC2115T_vs_CHC2115N	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_COUNT (CHC2115T_vs_CHC2115N)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-vcftools-0.1.16--he513fc3_4.img	1	518400000	-	1073741824	1	1676891199452	1676891203705	1676891208696	9244	2000	qbic	99.2	0.0	2936832	11575296	2936832	11579392	31020673	2541	187	43	32423041	12288	9	0	/sfs/9/ws/iizha01-QSARK/intervals/fastp_16_intervals_0/work/2c/5b356fc7e50def9e09de3f1777df54	true	-
1029	bf/68b50c	1441396	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_QUAL	CHC2115T_vs_CHC2115N	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_QUAL (CHC2115T_vs_CHC2115N)	CACHED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-vcftools-0.1.16--he513fc3_4.img	1	518400000	-	1073741824	1	1676891199088	1676891203288	1676891208484	9396	1000	qbic	98.8	0.0	14774272	33128448	14774272	33132544	31020812	2634	187	40	32423038	12288	244	431	/sfs/9/ws/iizha01-QSARK/intervals/fastp_16_intervals_0/work/bf/68b50c47aa982a52c3521a3ecfcdf9	true	-
929	ef/ef826c	1456379	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_QUAL	CHC2111T_vs_CHC2111N	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_QUAL (CHC2111T_vs_CHC2111N)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-vcftools-0.1.16--he513fc3_4.img	1	518400000	-	1073741824	1	1677172052189	1677172058827	1677172058833	6644	1000	qbic	97.3	0.0	4694016	21659648	4694016	21663744	53735856	2313	209	37	55138343	12288	104	9	/sfs/9/ws/iizha01-QSARK/intervals/fastp_16_intervals_0/work/ef/ef826c50422a43ae738d91cff105f8	true	-
932	28/1a2a72	1456380	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_QUAL	CHC892T_vs_CHC892N	NFCORE_SAREK:SAREK:VCF_QC_BCFTOOLS_VCFTOOLS:VCFTOOLS_TSTV_QUAL (CHC892T_vs_CHC892N)	COMPLETED	0	-	/nfsmounts/container/depot.galaxyproject.org-singularity-vcftools-0.1.16--he513fc3_4.img	1	518400000	-	1073741824	1	1677172052255	1677172059871	1677172059872	7617	2000	qbic	98.2	0.0	14757888	33177600	14757888	33181696	83469052	2317	237	37	84871537	12288	296	417	/sfs/9/ws/iizha01-QSARK/intervals/fastp_16_intervals_0/work/28/1a2a7279699ed825259d3de69b7b6f	true	-
