Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio,	run
INDEL,PASS,525469,508261,17208,835827,1871,306696,1424,234,0.967252,0.9964639999999999,0.366937,0.981641,,,1.528275734138537,1.8773304808001214,	strelka_HG002_dragmap
SNP,ALL,3365127,3263989,101138,3917993,34117,616535,3393,4195,0.9699450000000001,0.9896659999999999,0.15736,0.979706,2.1001284867575745,1.9005715943582164,1.5811958532541182,1.7566300796355656,	strelka_HG002_dragmap
SNP,PASS,3365127,3248742,116385,3566009,2066,311948,657,563,0.965414,0.999365,0.087478,0.9820959999999999,2.1001284867575745,2.040012545736112,1.5811958532541182,1.5723253194361961,	strelka_HG002_dragmap
INDEL,ALL,504501,501560,2941,933204,1328,409189,916,258,0.9941700000000001,0.997466,0.438478,0.995815,,,1.489759281064042,1.9567592067249688,	deepvariant_HG003_bwa
INDEL,PASS,504501,501560,2941,933204,1328,409189,916,258,0.9941700000000001,0.997466,0.438478,0.995815,,,1.489759281064042,1.9567592067249688,	deepvariant_HG003_bwa
SNP,ALL,3327496,3306925,20571,3783487,2423,472507,940,241,0.993818,0.999268,0.12488699999999998,0.9965360000000001,2.1025758866729185,1.9866751048725904,1.535136601693727,1.4593157792730627,	deepvariant_HG003_bwa
SNP,PASS,3327496,3306925,20571,3783487,2423,472507,940,241,0.993818,0.999268,0.12488699999999998,0.9965360000000001,2.1025758866729185,1.9866751048725904,1.535136601693727,1.4593157792730627,	deepvariant_HG003_bwa
INDEL,ALL,504501,490768,13733,902298,12385,381026,9122,1020,0.9727790000000001,0.976241,0.422284,0.974507,,,1.489759281064042,1.8979370677595413,	freebayes_HG003_bwa
INDEL,PASS,504501,490768,13733,902298,12385,381026,9122,1020,0.9727790000000001,0.976241,0.422284,0.974507,,,1.489759281064042,1.8979370677595413,	freebayes_HG003_bwa
SNP,ALL,3327496,3309189,18307,4380481,95159,972715,3178,11966,0.994498,0.972076,0.222057,0.983159,2.1025758866729185,1.8252446340419166,1.535136601693727,1.8174789944085905,	freebayes_HG003_bwa
SNP,PASS,3327496,3309189,18307,4380481,95159,972715,3178,11966,0.994498,0.972076,0.222057,0.983159,2.1025758866729185,1.8252446340419166,1.535136601693727,1.8174789944085905,	freebayes_HG003_bwa
INDEL,ALL,504501,500434,4067,930968,4240,405389,1775,503,0.9919389999999999,0.991933,0.435449,0.991936,,,1.489759281064042,1.935126740969605,	haplotypecaller_filtered_HG003_bwa
INDEL,PASS,504501,500278,4223,916525,3006,392336,1775,354,0.9916290000000001,0.994265,0.428069,0.9929459999999999,,,1.489759281064042,1.8892890890968637,	haplotypecaller_filtered_HG003_bwa
SNP,ALL,3327496,3306701,20795,3988873,32143,649171,2507,3251,0.993751,0.990375,0.162745,0.99206,2.1025758866729185,1.9407329833671483,1.535136601693727,1.7061378560403144,	haplotypecaller_filtered_HG003_bwa
SNP,PASS,3327496,3306701,20795,3981878,32138,642181,2507,3251,0.993751,0.9903770000000001,0.161276,0.9920610000000001,2.1025758866729185,1.9436974970014123,1.535136601693727,1.7028704890955915,	haplotypecaller_filtered_HG003_bwa
INDEL,ALL,504501,500434,4067,930968,4240,405389,1775,503,0.9919389999999999,0.991933,0.435449,0.991936,,,1.489759281064042,1.935126740969605,	haplotypecaller_HG003_bwa
INDEL,PASS,504501,500434,4067,930968,4240,405389,1775,503,0.9919389999999999,0.991933,0.435449,0.991936,,,1.489759281064042,1.935126740969605,	haplotypecaller_HG003_bwa
SNP,ALL,3327496,3306701,20795,3988873,32143,649171,2507,3251,0.993751,0.990375,0.162745,0.99206,2.1025758866729185,1.9407329833671483,1.535136601693727,1.7061378560403144,	haplotypecaller_HG003_bwa
SNP,PASS,3327496,3306701,20795,3988873,32143,649171,2507,3251,0.993751,0.990375,0.162745,0.99206,2.1025758866729185,1.9407329833671483,1.535136601693727,1.7061378560403144,	haplotypecaller_HG003_bwa
INDEL,ALL,504501,501560,2941,933204,1328,409189,916,258,0.9941700000000001,0.997466,0.438478,0.995815,,,1.489759281064042,1.9567592067249688,	deepvariant_HG003_bwamem2
INDEL,PASS,504501,501560,2941,933204,1328,409189,916,258,0.9941700000000001,0.997466,0.438478,0.995815,,,1.489759281064042,1.9567592067249688,	deepvariant_HG003_bwamem2
SNP,ALL,3327496,3306925,20571,3783487,2423,472507,940,241,0.993818,0.999268,0.12488699999999998,0.9965360000000001,2.1025758866729185,1.9866751048725904,1.535136601693727,1.4593157792730627,	deepvariant_HG003_bwamem2
